ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
CHEMBL4637593,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C)(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C)(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,597.1110000000001,6.682900000000007,7,1
CHEMBL4636767,Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CN(C)C(CO)(CO)CO)cc2Cl)cccc1-c1cccc(OCCCN2CCC(F)(F)C2)c1C,0.5,Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CN(C)C(CO)(CO)CO)cc2Cl)cccc1-c1cccc(OCCCN2CCC(F)(F)C2)c1C,765.2979999999999,6.3059200000000075,10,3
CHEMBL4643813,Cc1c(/C=C/C(=O)c2cc(CN3CCNCC3)ccc2O)cccc1-c1ccccc1,20000.0,Cc1c(/C=C/C(=O)c2cc(CN3CCNCC3)ccc2O)cccc1-c1ccccc1,412.5330000000001,4.6689200000000035,4,2
CHEMBL4640374,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,14.5,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,611.0940000000002,6.632700000000006,7,1
CHEMBL4741526,Cc1c(Nc2nccc3ccc(CNCCO)nc23)cccc1-c1ccccc1,10.0,Cc1c(Nc2nccc3ccc(CNCCO)nc23)cccc1-c1ccccc1,384.48300000000006,4.430720000000003,5,3
CHEMBL4872446,O=C(c1ccc(CNCCO)cc1)n1ccc2c(-c3ccc4c(c3)OCCO4)cccc21,1000.0,O=C(c1ccc(CNCCO)cc1)n1ccc2c(-c3ccc4c(c3)OCCO4)cccc21,428.4880000000002,3.8499000000000025,6,2
CHEMBL4780908,CC(O)C(NC(=O)NC(CC(N)=O)c1nc(C(N)CO)no1)C(=O)O,5000000.0,CC(O)C(NC(=O)NC(CC(N)=O)c1nc(C(N)CO)no1)C(=O)O,360.3270000000001,-2.888599999999997,9,7
CHEMBL5175290,N#Cc1cccc(COc2cc(Oc3ncnc4c(-c5ccccc5)cccc34)c(Cl)cc2CN2CCCC[C@@H]2C(=O)O)c1,500.0,N#Cc1cccc(COc2cc(Oc3ncnc4c(-c5ccccc5)cccc34)c(Cl)cc2CN2CCCC[C@@H]2C(=O)O)c1,605.0940000000002,7.632280000000009,7,1
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,83.12,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,448.56300000000033,4.483920000000003,5,2
CHEMBL5084706,O=S(=O)(O)CCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,26.9,O=S(=O)(O)CCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,658.9579999999999,6.441100000000005,8,2
CHEMBL5207924,COc1ccc(C2=NN(c3ccccn3)C(=O)C2)cc1OC,7.3,COc1ccc(C2=NN(c3ccccn3)C(=O)C2)cc1OC,297.3140000000001,2.2398,5,0
CHEMBL5181313,N#Cc1cncc(COc2cc(C(=O)N3CCc4c(-c5ccccc5)cccc43)ccc2CN2CC[C@H](CO)C2)c1,127.8,N#Cc1cncc(COc2cc(C(=O)N3CCc4c(-c5ccccc5)cccc43)ccc2CN2CC[C@H](CO)C2)c1,544.6550000000002,5.216380000000006,6,1
CHEMBL5087009,Cc1c(COc2ccc(CNCCCNC(CO)CO)cc2[N+](=O)[O-])cccc1-c1ccccc1,28.7,Cc1c(COc2ccc(CNCCCNC(CO)CO)cc2[N+](=O)[O-])cccc1-c1ccccc1,479.57700000000017,3.571720000000002,7,4
CHEMBL5091096,Cc1c(COc2ccc(CN3CCC[C@H]3C(=O)N(C)CC(O)CO)cc2[N+](=O)[O-])cccc1-c1ccccc1,9.98,Cc1c(COc2ccc(CN3CCC[C@H]3C(=O)N(C)CC(O)CO)cc2[N+](=O)[O-])cccc1-c1ccccc1,533.6250000000002,3.925220000000003,7,2
CHEMBL5085480,Cc1c(COc2cc(OCc3ccnc(C#N)c3)c(CN3CCCC[C@H]3C(=O)O)cc2[N+](=O)[O-])cccc1-c1ccccc1,10.2,Cc1c(COc2cc(OCc3ccnc(C#N)c3)c(CN3CCCC[C@H]3C(=O)O)cc2[N+](=O)[O-])cccc1-c1ccccc1,592.6520000000004,6.434000000000006,8,1
CHEMBL5282197,COc1cc(OC(C)=O)c(-c2c(OC(C)=O)cc(OC)c3c2C=C[C@@](C)(CCC2=C(C)CCCC2(C)C)O3)c2c1O[C@](C)(CCC1=C(C)CCCC1(C)C)C=C2,50000.0,COc1cc(OC(C)=O)c(-c2c(OC(C)=O)cc(OC)c3c2C=C[C@@](C)(CCC2=C(C)CCCC2(C)C)O3)c2c1O[C@](C)(CCC1=C(C)CCCC1(C)C)C=C2,767.0159999999998,12.163599999999983,8,0
CHEMBL5093300,O=C(O)[C@@H](CO)NCc1cc(F)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,7.8,O=C(O)[C@@H](CO)NCc1cc(F)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,622.447,5.484500000000004,8,3
CHEMBL5081629,O=C(O)[C@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,2.6,O=C(O)[C@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,638.9019999999999,5.998800000000004,8,3
